station_id,latitude (degrees north),longitude (degrees east),date_time,significant_wave_height (m),dominant_wave_period (s),sea_surface_temperature (C°)
2888997,46.2159996,-124.1279984,2013-04-18T00:10:00Z,1.299999952,8,10.89999962
2888997,46.2159996,-124.1279984,2013-04-18T00:40:00Z,1.100000024,8,10.80000019
2888997,46.2159996,-124.1279984,2013-04-18T01:10:00Z,1.299999952,8,10.80000019
2888997,46.2159996,-124.1279984,2013-04-18T01:40:00Z,1.200000048,6,10.89999962
2888997,46.2159996,-124.1279984,2013-04-18T02:10:00Z,1,7,11.10000038
2888997,46.2159996,-124.1279984,2013-04-18T02:40:00Z,1,8,11.5
2888997,46.2159996,-124.1279984,2013-04-18T03:10:00Z,1.100000024,8,11.60000038
2888997,46.2159996,-124.1279984,2013-04-18T03:40:00Z,1.100000024,8,11.30000019
2888997,46.2159996,-124.1279984,2013-04-18T04:10:00Z,1,6,11.19999981
2888997,46.2159996,-124.1279984,2013-04-18T04:40:00Z,1,6,11
2888997,46.2159996,-124.1279984,2013-04-18T05:10:00Z,1,8,10.5
2888997,46.2159996,-124.1279984,2013-04-18T05:40:00Z,1,7,10.5
2888997,46.2159996,-124.1279984,2013-04-18T06:10:00Z,0.899999976,7,10.60000038
2888997,46.2159996,-124.1279984,2013-04-18T06:40:00Z,0.899999976,8,10.39999962
2888997,46.2159996,-124.1279984,2013-04-18T07:10:00Z,0.899999976,7,10.39999962
2888997,46.2159996,-124.1279984,2013-04-18T07:40:00Z,0.899999976,6,10.19999981
2888997,46.2159996,-124.1279984,2013-04-18T08:10:00Z,0.899999976,7,10.19999981
2888997,46.2159996,-124.1279984,2013-04-18T08:40:00Z,0.800000012,7,10.19999981
2888997,46.2159996,-124.1279984,2013-04-18T09:10:00Z,0.899999976,6,10.30000019
2888997,46.2159996,-124.1279984,2013-04-18T09:40:00Z,0.899999976,7,10.30000019
2888997,46.2159996,-124.1279984,2013-04-18T10:10:00Z,0.800000012,6,10.30000019
2888997,46.2159996,-124.1279984,2013-04-18T10:40:00Z,0.800000012,6,10.30000019
2888997,46.2159996,-124.1279984,2013-04-18T11:10:00Z,0.800000012,6,10.19999981
