station_id,latitude (degrees north),longitude (degrees east),date_time,air_temperature (C°),sea_level_pressure (hPa),wind_speed (m/s),gust_speed (m/s),significant_wave_height (m),dominant_wave_period (s),sea_surface_temperature (C°)
2868187,47.34899902,-124.7080002,2013-04-18T00:50:00Z,7.199999809,1032.599976,5,8,1,8,10.10000038
2868187,47.34899902,-124.7080002,2013-04-18T01:50:00Z,6.800000191,1032.300049,4,5,1.100000024,6,10
2868187,47.34899902,-124.7080002,2013-04-18T02:50:00Z,6.900000095,1031.800049,3,4,1.100000024,7,10
2868187,47.34899902,-124.7080002,2013-04-18T03:50:00Z,7,1031.699951,2,3,1,6,9.899999619
2868187,47.34899902,-124.7080002,2013-04-18T04:50:00Z,7.099999905,1031.900024,1,2,0.899999976,8,9.899999619
2868187,47.34899902,-124.7080002,2013-04-18T05:50:00Z,7.199999809,1031.699951,0,1,0.899999976,6,9.800000191
2868187,47.34899902,-124.7080002,2013-04-18T06:50:00Z,7.400000095,1031.400024,3,3,0.899999976,6,9.800000191
2868187,47.34899902,-124.7080002,2013-04-18T07:50:00Z,7.400000095,1031.300049,2,3,0.800000012,6,9.800000191
2868187,47.34899902,-124.7080002,2013-04-18T08:50:00Z,7.599999905,1031.099976,3,4,0.800000012,8,9.899999619
2868187,47.34899902,-124.7080002,2013-04-18T09:50:00Z,7.900000095,1030.699951,4,4,0.800000012,7,9.899999619
2868187,47.34899902,-124.7080002,2013-04-18T10:50:00Z,7.900000095,1030.300049,4,5,0.699999988,7,9.899999619
2868187,47.34899902,-124.7080002,2013-04-18T12:50:00Z,7.699999809,1029.900024,6,7,0.800000012,10,10
2868187,47.34899902,-124.7080002,2013-04-18T13:50:00Z,7.699999809,1029.699951,6,7,0.800000012,10,10
2868187,47.34899902,-124.7080002,2013-04-18T14:50:00Z,8.199999809,1029.599976,7,8,1,10,10
2868187,47.34899902,-124.7080002,2013-04-18T15:50:00Z,8.399999619,1029.699951,8,9,1.399999976,9,10
2868187,47.34899902,-124.7080002,2013-04-18T16:50:00Z,8.600000381,1029.599976,8,9,1.5,8,10
2868187,47.34899902,-124.7080002,2013-04-18T17:50:00Z,8.899999619,1029.400024,8,10,1.5,8,10
2868187,47.34899902,-124.7080002,2013-04-18T18:50:00Z,9.199999809,1029.5,8,9,1.600000024,8,10
2868187,47.34899902,-124.7080002,2013-04-18T19:50:00Z,9.399999619,1028.900024,8,9,1.700000048,8,10
2868187,47.34899902,-124.7080002,2013-04-18T20:50:00Z,9.399999619,1028.400024,7,8,1.600000024,8,10.10000038
2868187,47.34899902,-124.7080002,2013-04-18T21:50:00Z,9.399999619,1028.099976,7,8,1.5,9,9.899999619
2868187,47.34899902,-124.7080002,2013-04-18T22:50:00Z,9.399999619,1027.900024,6,8,1.5,9,10
2868187,47.34899902,-124.7080002,2013-04-18T23:50:00Z,9.399999619,1027.099976,6,7,1.600000024,8,10
2868187,47.34899902,-124.7080002,2013-04-19T00:50:00Z,9.399999619,1026.599976,6,7,1.600000024,8,9.800000191
2868187,47.34899902,-124.7080002,2013-04-19T01:50:00Z,9.300000191,1026.199951,7,8,1.5,8,9.800000191
2868187,47.34899902,-124.7080002,2013-04-19T02:50:00Z,9.199999809,1025.099976,6,8,1.600000024,7,9.699999809
2868187,47.34899902,-124.7080002,2013-04-19T03:50:00Z,9.300000191,1024.599976,7,8,1.600000024,8,9.699999809
2868187,47.34899902,-124.7080002,2013-04-19T04:50:00Z,9.399999619,1024.300049,7,9,1.5,7,9.600000381
2868187,47.34899902,-124.7080002,2013-04-19T05:50:00Z,9.5,1023.400024,7,9,1.600000024,8,9.600000381
2868187,47.34899902,-124.7080002,2013-04-19T06:50:00Z,9.5,1022.5,8,10,1.700000048,8,9.5
2868187,47.34899902,-124.7080002,2013-04-19T07:50:00Z,9.399999619,1021.900024,7,9,1.700000048,8,9.399999619
2868187,47.34899902,-124.7080002,2013-04-19T08:50:00Z,9.300000191,1021.400024,7,8,1.700000048,7,9.300000191
2868187,47.34899902,-124.7080002,2013-04-19T09:50:00Z,9.199999809,1020.700012,6,8,2,8,9.300000191
2868187,47.34899902,-124.7080002,2013-04-19T10:50:00Z,9.100000381,1019.900024,5,6,1.899999976,8,9.300000191
2868187,47.34899902,-124.7080002,2013-04-19T11:50:00Z,9.100000381,1019.200012,5,5,2,8,9.300000191
2868187,47.34899902,-124.7080002,2013-04-19T12:50:00Z,9.100000381,1018.599976,5,6,1.799999952,7,9.399999619
2868187,47.34899902,-124.7080002,2013-04-19T13:50:00Z,9,1017.900024,2,3,1.700000048,7,9.399999619
2868187,47.34899902,-124.7080002,2013-04-19T14:50:00Z,8.899999619,1018.200012,5,6,1.700000048,8,9.300000191
